"Id","Rest Id","Name","Screen Name","Can Dm","Description","Followers Count","Normal Followers Count","Friends Count","Favourites Count","Listed Count","Statuses Count","Location","Media Count","Profile Banner Url","Profile Url","Avatar Url","Is Blue Verified","Is Verified","Possibly Sensitive","Super Follow Eligible","Professional Type","Professional Category","Tipjar Settings","Created At","Scraped At"
"VXNlcjoxMjE4MzgzMjg4OTExNTA3NDU2","1218383288911507456","VFX Grace","VfxGrace","Yes","We’re a R&D Team,""VFX Grace"" full of energy, creativity and passion for VFX. Together we grow, explore and share our joys!","2579","2579","340","166","19","303","New York","262","https://pbs.twimg.com/profile_banners/1218383288911507456/1615145710","https://x.com/VfxGrace","https://pbs.twimg.com/profile_images/1218383675097829376/c0bv5_QI_normal.jpg","No","No","No","No","","","","2020-01-18T04:03:35.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxMTA5NTY0ODI5NjMzODYzNjgw","1109564829633863680","Chilbita🌹💛","ChilbitaSoyYO","No","@Chilbita es mia
ULTRA ANTIK
Troll 121 según los KUKAS/
MACRISTA💛 TORRISTA💛
soy Afiliada al PRO💛no violeta🫣
El KIRCHNERISMO es lo peor que nos pasa","76236","76236","45889","241600","43","102691","Chubut, Argentina","7937","https://pbs.twimg.com/profile_banners/1109564829633863680/1710643544","https://x.com/ChilbitaSoyYO","https://pbs.twimg.com/profile_images/1330706072915632133/yBKny6pX_normal.jpg","No","No","No","No","Creator","","","2019-03-23T21:17:24.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjo5NzA5NDcxNg==","97094716","ariel viano 🇦🇷","arielviano","Yes","Hincha de Racing
Defender la República No es para tibios, SÚMATE.
Vecinos Solidarios EE y SP 💪🇦🇷","46330","46330","6215","342766","60","138269","","26178","https://pbs.twimg.com/profile_banners/97094716/1695501181","https://x.com/arielviano","https://pbs.twimg.com/profile_images/1852452362276712448/6VXq-dsp_normal.jpg","Yes","No","No","No","","","""is_enabled"": ""true""","2009-12-16T00:21:58.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxMzczMDIxMjI4MDQzMjc2Mjkw","1373021228043276290","Julioac13 (Cuenta Nueva)","Julioac13","Yes","De Viedma
Anti K Anti PJ Anti populismo
Simple y Sencillo","33886","33886","26976","280659","8","256051","Viedma. Río Negro. Patagonia ","11275","https://pbs.twimg.com/profile_banners/1373021228043276290/1732008985","https://x.com/Julioac13","https://pbs.twimg.com/profile_images/1394512775318315008/3XwgabEH_normal.jpg","No","No","No","No","","","","2021-03-19T21:19:24.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxMjA3ODU1MDQ1NzQ1NzkwOTgy","1207855045745790982","Marcos Palazzolo","marcalpalazzolo","Yes","Abogado UBA. Maestría en Relaciones Económicas Internacionales UNLAM. Fundador de @Librepublicanos
insta: https://t.co/dYmMSOg5lr","60481","60481","21812","249701","48","35884","Buenos Aires, Argentina","7186","https://pbs.twimg.com/profile_banners/1207855045745790982/1687472215","https://x.com/marcalpalazzolo","https://pbs.twimg.com/profile_images/1911456420370718720/HWlsPS0w_normal.jpg","Yes","No","No","No","","","","2019-12-20T02:47:53.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxMzU0ODUyMDE=","135485201","Vero 😎","veroloren","No","Rómpeme el corazón pero no las Pelotas. El K es todo lo que está mal ! EL Estado No es una ONG! Vieja Meada , Ñoña Republicana, Denunciada x la No 1 Dama","44395","44395","40398","494360","37","239984","Al  Norte  del Congo Urbano","11663","https://pbs.twimg.com/profile_banners/135485201/1713746938","https://x.com/veroloren","https://pbs.twimg.com/profile_images/1816159818471645184/JHXfRPBG_normal.jpg","Yes","No","No","No","","","","2010-04-21T12:46:06.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxMDUxODA5MzU=","105180935","Hernán Lombardi","herlombardi","No","Ministro de Desarrollo Económico del Gobierno de la Ciudad de Buenos Aires Secretario de Movilización PRO","285413","285413","3689","22607","1040","22204","Buenos Aires","4953","https://pbs.twimg.com/profile_banners/105180935/1589838169","https://x.com/herlombardi","https://pbs.twimg.com/profile_images/1651650089494913039/LcbxAJIK_normal.jpg","Yes","No","No","No","","","","2010-01-15T16:07:26.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjo0MTU3NDgyOTQ3","4157482947","EL CARA (Macrista de Macri )","ElCara333_","Yes","UN PUEBLO NO ES POBRE POR COMO VIVE , SI NO POR COMO PIENSA
Para un MACRISTA no hay nada mejor que otro MACRISTA .
 Yo ni Halcón, ni Paloma, GATO.","55176","55176","22111","385630","40","221659","Ciudad Autónoma de Bs As","12388","https://pbs.twimg.com/profile_banners/4157482947/1614659568","https://x.com/ElCara333_","https://pbs.twimg.com/profile_images/1603599584995016706/MbxhlS5e_normal.jpg","No","No","No","No","","","","2015-11-10T16:08:46.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjo3NTE1ODAyMTAxMzk2NTYxOTI=","751580210139656192","Luis Osvaldo","osvagoya","No","el éxito no está en la cima, sino en el proceso de escalar. Con la ironía y el humor ayudamos para ser del 56%. Viajero","33253","33253","24499","255453","19","29933","Goya, Corrientes, Argentina","22777","https://pbs.twimg.com/profile_banners/751580210139656192/1757710431","https://x.com/osvagoya","https://pbs.twimg.com/profile_images/1969739330236104704/hORA_siV_normal.jpg","Yes","No","No","No","Business","Id: 15, Name: Entertainment & Recreation","""is_enabled"": ""false""","2016-07-09T00:54:20.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoyMzYyNjgxNDk2","2362681496","Eduardo Gerome","edgerome","Yes","Ciudadano","72063","72063","123","408212","56","13036","","1315","https://pbs.twimg.com/profile_banners/2362681496/1473789197","https://x.com/edgerome","https://pbs.twimg.com/profile_images/1204828593341247488/KhPiMgoX_normal.jpg","Yes","No","No","No","","","","2014-02-26T13:27:20.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxNDA2MjcxNTU2OTUxNzE5OTQx","1406271556951719941","Mavica","mavica81","Yes","ULTRA ANTI K Mi voto va contra el Kirchnerismo, mi cuenta alternativa es @mavica7 con contenido diferente","59700","59700","51498","94886","46","75876","","28944","https://pbs.twimg.com/profile_banners/1406271556951719941/1643584296","https://x.com/mavica81","https://pbs.twimg.com/profile_images/1406272072792350726/EuHKFI9E_normal.jpg","No","No","No","No","","","","2021-06-19T15:24:47.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxMjgyNzczMzQ=","128277334","Cin Osorio 🌳🌻🌻🇺🇦🌻🌻🎗️","cintiaramiduart","Yes","Artesana de la vida,emprendedora , pastelera,  amante de la naturaleza y la buena música, otaku madre ,todo lo que sea tecnologia me encanta.","1839","1839","5212","491144","2","248253","En El Planeta Tierra","1099","https://pbs.twimg.com/profile_banners/128277334/1705788212","https://x.com/cintiaramiduart","https://pbs.twimg.com/profile_images/1986162162557968385/4YXo_jBa_normal.jpg","Yes","No","No","No","","","","2010-03-31T17:07:20.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxNTAxNjE0NjE1NzI1MTYyNDk3","1501614615725162497","Echoes❄️","PixelEchoes","Yes","Pixel Artist || Learning Game dev
I make game assets too","355","355","129","9711","4","543","","185","https://pbs.twimg.com/profile_banners/1501614615725162497/1710559538","https://x.com/PixelEchoes","https://pbs.twimg.com/profile_images/1786003114409283584/CeD3SzIr_normal.jpg","No","No","No","No","","","","2022-03-09T17:43:52.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxNDE3OTI4ODUwNDIwNDY5NzYy","1417928850420469762","𝐙𝐨𝐦𝐛𝐢𝐞✨🎨","Chombie_e","Yes","✨Greet the world with open arms✨
Artista digital | lvl 23 | chilena po ctm 🇨🇱 
Armin mi marido 💙 #cdmtwt","94","94","124","6944","0","530","","124","https://pbs.twimg.com/profile_banners/1417928850420469762/1763698161","https://x.com/Chombie_e","https://pbs.twimg.com/profile_images/1991718355682615296/c_rmnBcg_normal.jpg","No","No","No","No","","","","2021-07-21T19:26:08.000Z","2025-12-30T13:20:13.859Z"
"VXNlcjoxMDAzODczMTY4NDM4NjU3MDI0","1003873168438657024","Ryan Kinel - RK Outpost","KinelRyan","Yes","US Navy Veteran. Outspoken about basically everything. Mediocre gamer.  #GeeksandGamers #SportsWars #RKOutpost #PatriotOutpost
https://t.co/JEKlIKfSZs","90081","90081","1211","64118","271","25193","Orlando, FL","2615","https://pbs.twimg.com/profile_banners/1003873168438657024/1618412208","https://x.com/KinelRyan","https://pbs.twimg.com/profile_images/1382574854650490883/N3NZVEeC_normal.jpg","Yes","No","No","Yes","Creator","Id: 1042, Name: Content Creator","","2018-06-05T05:36:29.000Z","2025-12-30T13:20:13.859Z"
